horaToma,Asset_id,A_Speed,Curr_fLevel,Curr_Temp
2017-10-04 00:00:01,434,0.000,100.000,49.000
2017-10-04 00:00:01,317,0.000,0.000,61.000
2017-10-04 00:00:07,667,0.000,100.000,72.000
2017-10-04 00:00:03,291,40.700,0.000,84.000
2017-10-04 00:00:22,599,0.000,100.000,59.000
2017-10-04 00:00:32,661,0.000,74.800,70.000
2017-10-04 00:00:37,301,96.700,0.000,83.000
2017-10-04 00:00:38,507,0.000,24.000,79.000
2017-10-04 00:00:32,493,27.300,2.400,78.000
2017-10-04 00:00:48,290,94.400,0.000,82.000
2017-10-04 00:00:59,217,11.900,82.000,86.000
2017-10-04 00:01:00,103,0.000,59.200,78.000
2017-10-04 00:00:52,373,0.000,0.000,82.000
2017-10-04 00:01:08,279,101.800,100.000,84.000
2017-10-04 00:01:07,98,0.000,86.400,78.000
2017-10-04 00:01:09,198,25.200,59.200,80.000
2017-10-04 00:01:14,188,99.600,100.000,86.000
2017-10-04 00:01:11,549,0.000,100.000,78.000
2017-10-04 00:01:17,242,0.000,0.000,49.000
2017-10-04 00:01:22,599,0.000,100.000,60.000
2017-10-04 00:01:28,350,103.600,0.400,87.000
2017-10-04 00:01:30,566,111.500,0.000,84.000
2017-10-04 00:01:32,493,0.000,2.800,80.000
2017-10-04 00:01:35,596,55.500,33.600,81.000
2017-10-04 00:01:24,95,0.000,0.000,0.000
2017-10-04 00:01:43,518,2.400,0.000,77.000
2017-10-04 00:01:45,120,0.000,62.400,79.000
2017-10-04 00:01:47,536,101.100,0.000,79.000
2017-10-04 00:01:48,505,105.900,56.000,81.000
2017-10-04 00:01:50,416,0.000,29.600,72.000
2017-10-04 00:01:50,644,93.500,36.800,82.000
2017-10-04 00:01:56,474,22.000,44.400,62.000
2017-10-04 00:01:58,673,89.800,99.200,85.000
2017-10-04 00:02:00,434,0.000,100.000,49.000
2017-10-04 00:02:02,7,101.400,6.800,85.000
2017-10-04 00:02:03,44,0.000,0.000,83.000
2017-10-04 00:02:08,303,0.000,0.000,82.000
2017-10-04 00:02:08,372,40.300,82.400,82.000
2017-10-04 00:02:09,658,83.300,90.000,81.000
2017-10-04 00:02:15,439,0.000,16.400,79.000
2017-10-04 00:02:17,210,0.000,0.000,54.000
2017-10-04 00:02:20,330,0.000,6.400,44.000
2017-10-04 00:02:21,39,73.700,100.000,88.000
2017-10-04 00:02:22,427,0.000,0.000,82.000
